Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,orig_index,id,created_at
d b imposters scam number scammer s website or email additional information about this scam from fake d b biz loan approved,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.6604674966974822,False,10273,148927,2024-01-31 22:07:36.656
paypal refund scam number scammer s website or email email additional information about this scam,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.7684171960450401,False,10274,148926,2024-01-31 21:56:37.190
zelle refund scam report please scam number scammer s website or email cruxhelpsupport in additional information about this scam scamming people on zelle,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.9851340698795241,False,10275,148924,2024-01-31 21:38:59.128
chime scammer scam number scammer s website or email additional information about this scam,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.4494278236545851,False,10276,148923,2024-01-31 21:33:03.632
fake chime support scam number scammer s website or email additional information about this scam,-1,-1_refund_support_app_techsupport,"['refund', 'support', 'app', 'techsupport', 'mcafee', 'loan', 'etsy', 'coinbase', 'pop', 'zelle']","['microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing true abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse emails none screenshot', 'microsoft pop up link asn awex cy 204915 phone toll free country united states us hash google safebrowsing false abuse e']",refund - support - app - techsupport - mcafee - loan - etsy - coinbase - pop - zelle,0.4644084605931257,False,10277,148922,2024-01-31 21:29:32.276
and multiple scams scam number scammer s website or email none additional information about this scam this one is interesting they robocalled me in violation of tcpa and tsr when i called them back from different teleph,9,9_crypto_community_pharmacy_medicare,"['crypto', 'community', 'pharmacy', 'medicare', 'called', 'crypto community', 'ssa', 'facebook', 'community crypto', 'cvs']","['crypto scammer scam number scammer s website or email additional information about this scam community', '1 662 crypto scammer scam number scammer s website or email additional information about this scam community', 'crypto scammer scam number scammer s website or email additional information about this scam community']",crypto - community - pharmacy - medicare - called - crypto community - ssa - facebook - community crypto - cvs,0.6556110350326464,False,10278,148920,2024-01-31 21:14:01.325
amazon ftc refund scam number scammer s website or email cold call verified additional information about this scam amazon 1537 35 apple items ftc drug charge fake,1,1_amazon_fake amazon_fake_amazon fake,"['amazon', 'fake amazon', 'fake', 'amazon fake', 'fake amazon fake', 'amazon fake amazon', 'ftc', 'advertiser', 'verified', 'fake amazon amazon']","['fake amazon scam scam number scammer s website or email additional information about this scam', 'fake amazon scam scam number scammer s website or email additional information about this scam', 'fake amazon scam scam number scammer s website or email additional information about this scam fake amazon scam on amazon']",amazon - fake amazon - fake - amazon fake - fake amazon fake - amazon fake amazon - ftc - advertiser - verified - fake amazon amazon,0.18298650309427306,False,10279,148919,2024-01-31 21:00:45.182
norton_refund scam number scammer s website or email cold call verified additional information about this scam norton 299,4,4_norton_nortonrefund_chase_norton norton,"['norton', 'nortonrefund', 'chase', 'norton norton', 'invoice', 'norton antivirus', 'antivirus', 'nortonrefund norton', 'lifelock', 'norton lifelock']","['norton scam scam number scammer s website or email email additional information about this scam 451 35', 'norton scam number scammer s website or email additional information about this scam', 'norton_refund scam number scammer s website or email email additional information about this scam norton 539 97']",norton - nortonrefund - chase - norton norton - invoice - norton antivirus - antivirus - nortonrefund norton - lifelock - norton lifelock,1.0,False,10280,148918,2024-01-31 20:51:12.695
another venmo asshat scam number scammer s website or email additional information about this scam,9,9_crypto_community_pharmacy_medicare,"['crypto', 'community', 'pharmacy', 'medicare', 'called', 'crypto community', 'ssa', 'facebook', 'community crypto', 'cvs']","['crypto scammer scam number scammer s website or email additional information about this scam community', '1 662 crypto scammer scam number scammer s website or email additional information about this scam community', 'crypto scammer scam number scammer s website or email additional information about this scam community']",crypto - community - pharmacy - medicare - called - crypto community - ssa - facebook - community crypto - cvs,0.33410845904349773,False,10281,148917,2024-01-31 20:37:54.337
paypal scam charge scam number scammer s website or email fastsupport com paypal additional information about this scam i did not receive but a poster states paypal charge,7,7_paypal_paypal paypal_paypal support_paypal support paypal,"['paypal', 'paypal paypal', 'paypal support', 'paypal support paypal', 'support paypal', 'paypal bc', 'bc', 'uk', 'btc', 'sent']","['paypal scam scam number scammer s website or email additional information about this scam', 'paypal scam number scammer s website or email additional information about this scam', 'paypal scam scam number scammer s website or email additional information about this scam paypal scam']",paypal - paypal paypal - paypal support - paypal support paypal - support paypal - paypal bc - bc - uk - btc - sent,1.0,False,10282,148916,2024-01-31 20:29:24.459
