month,topic_id,size,label,theme_id,sim,year,theme_label
2016-12,0,14,fakepopup ; fakepopup fake ; fake ; fakepopup fake alert ; fake alert ; alert,0,1.0,2016,directv ; discount ; directv discount ; directtv ; day ; comcast
2016-12,1,13,fakesite ; support ; norton support ; norton ; fake ; support fakesite,1,1.0,2016,ssa ; ssa number ; ssa ssa ; human ; ssa number robokiller ; officer
2016-12,2,12,phone ; got ; new popup ; new ; popup ; larry,2,1.0,2016,uk ; hmrc ; number ; script ; mobile ; mobile number
2016-12,3,11,daniel ; admin ; cookie ; admin admin ; nco ; nco daniel,3,1.0,2016,loan ; student ; student loan ; calling ; voicemails ; pending
2016-12,4,11,godaddy ; godaddy web host ; web host ; registrar godaddy web ; whois protection ; godaddy web,4,1.0,2016,discord ; associated ; crypto ; popup ; associated address ; discord crypto popup
2016-12,5,9,rules ; blah ; failed ; meant ; ssl ; sent,5,1.0,2016,refund ; amazon refund ; kolkata ; amazon ; ip ; amazon refund kolkata
2016-12,6,9,site ; popup ; pop ; site feedback ; torpedoalvarix ; fake pop,6,1.0,2016,amazon ; sucess ; ebay ; amazon impersonation ; amazon sucess ; answering
2016-12,7,8,microsoft ; machine ; warning ; virtual ; hyper manager ; vmware,7,1.0,2016,refund number ; amazon refund number ; amazon ; amazon refund ; refund ; number
2016-12,8,8,browlock ; phone ; popup working ; popup working host ; working host browlock ; working host,8,1.0,2016,amazon refund ; amazon ; refund ; iphone ; order ; number
2016-12,9,8,techsupport ; working techsupport ; working ; odesa ; techsupport phone ; code,9,1.0,2016,number ; spam ; xorinfotechcom support ; xorinfotechcom ; support ; sitesgooglecom
2016-12,10,6,techsupport ; fake techsupport ; fake ; apis ; quite variants urls ; src,10,1.0,2016,grandma ; number ; publishers ; clearing house ; clearing ; warranty
2016-12,11,6,christmas ; merry ; merry christmas ; called ; play songs ; just called,11,1.0,2016,refund ; norton refund ; thank ; cancellation ; windows ; firewall
2016-12,12,6,targeting ; targeting uk ; browlock ; uk ; browlock targeting ; browlock registered,12,1.0,2016,tech support ; tech ; support ; tech support popup ; support popup ; source
2016-12,13,5,irs ; fake irs ; fakeirs fake irs ; fakeirs fake ; fakeirs ; fake irs fakeirs,13,1.0,2016,ebay ; scamming ; paypal ; customers ; ebay refund ; refund number
2017-01,7,6,irs ; fake irs ; crackdown ; federal ; investigation ; irs crackdown,13,0.8027369379997253,2017,ebay ; scamming ; paypal ; customers ; ebay refund ; refund number
2017-01,0,21,card ; credit card ; credit ; called ; calling ; like,14,1.0,2017,ssa ; ssa number ; badge ; hellip ssa ; number ssa ; social security
2017-01,1,12,skype ; firertc ; key ; working ; record button ; record,15,1.0,2017,activation ; devices ; amazon ; amazon activation ; devices number ; uhd
2017-01,2,12,techsupport ; gentech ; aka ; company ; calls ; managment,16,1.0,2017,norton ; antivirus ; number norton ; antivirus number ; number antivirus ; support
2017-01,3,11,microsoft ; support ; support spammed ; spammed ; fake ; spammed fake windows,17,1.0,2017,insurance ; called ; active ; car ; got ; number active
2017-01,4,10,pop ; popup ; screenshot ; image ; fakepopup ; uk,18,1.0,2017,support ; tech ; tech support ; support number ; tech support number ; site
2017-01,5,10,techsupport ; microsoft ; llc ; microsoft technical support ; microsoft technical ; technical,19,1.0,2017,nomorobo ; amazon ; source nomorobo ; source ; amazon refund ; robocall
2017-01,6,7,fakesite ; uk ; removed ; aberdeen ; removed fakesite callpcexpert ; wemotechsupport,20,1.0,2017,norton ; norton refund ; norton refund number ; hellip norton ; refund ; refund number
2017-01,8,6,fund ; year ; western ; facebook ; union ; happy,21,1.0,2017,ssa ; ssa number ; number ssa ; fish ; ssa number ssa ; active
2017-01,9,6,registrar ; godaddy ; spammed internet archive ; web host ; internet ; spammed internet,22,1.0,2017,whois ; whois lookup ; lookup ; lookup reveals registered ; reveals registered ; lookup reveals
